sid,freq,power
0.0,5.0,13.668861535943883
0.0,4.0,9.65817175070342
0.0,3.0,21.983474996296714
0.0,2.0,17.144434772401034
0.0,1.0,20.256087339523663
1.0,5.0,2.94543946411233
1.0,4.0,4.915864864786357
1.0,3.0,5.712861478810162
1.0,2.0,32.02386512056159
1.0,1.0,37.28725761843022
2.0,5.0,5.125511284380148
2.0,4.0,2.5835065415963645
2.0,3.0,5.855154252944347
2.0,2.0,19.788571993175434
2.0,1.0,54.6667354359059
3.0,5.0,5.791137442059681
3.0,4.0,15.110427395900299
3.0,3.0,11.294025376504974
3.0,2.0,22.707569986273846
3.0,1.0,46.10454246524517
4.0,5.0,18.671585197739432
4.0,4.0,8.912515056822578
4.0,3.0,5.782294619123998
4.0,2.0,13.809144462099939
4.0,1.0,31.81296085157188
5.0,5.0,2.422979056976442
5.0,4.0,2.08680378927981
5.0,3.0,19.50555597202485
5.0,2.0,24.43714500360752
5.0,1.0,23.543978318970414
6.0,5.0,2.8170856125276407
6.0,4.0,8.253359416444798
6.0,3.0,14.333033754053092
6.0,2.0,31.013702768165874
6.0,1.0,55.42930031734157
7.0,5.0,5.051816060014165
7.0,4.0,9.207827236201357
7.0,3.0,7.291986454502392
7.0,2.0,14.374132364836514
7.0,1.0,27.15949275442614
8.0,5.0,7.105376466933857
8.0,4.0,3.1310600274709786
8.0,3.0,17.325853390117828
8.0,2.0,17.165117960619703
8.0,1.0,32.61954307149196
9.0,5.0,3.773249702663206
9.0,4.0,4.35173166802929
9.0,3.0,19.069550902019472
9.0,2.0,15.010657444025025
9.0,1.0,42.38987276593249
10.0,5.0,17.104786821090293
10.0,4.0,8.795556505854755
10.0,3.0,8.300344474094517
10.0,2.0,24.359200804308095
10.0,1.0,23.987120426374016
11.0,5.0,6.41817387368704
11.0,4.0,5.017036756073205
11.0,3.0,5.992173510201047
11.0,2.0,20.753813915081285
11.0,1.0,34.74114534658449
12.0,5.0,19.18252818104397
12.0,4.0,1.1815283540486614
12.0,3.0,4.813642871982566
12.0,2.0,16.346253683639254
12.0,1.0,43.17552062839625
13.0,5.0,8.977592640580191
13.0,4.0,9.130558510430307
13.0,3.0,11.30386894375782
13.0,2.0,23.653115896942293
13.0,1.0,37.83659674530057
14.0,5.0,5.76051919331576
14.0,4.0,4.51199918876919
14.0,3.0,3.383171680134674
14.0,2.0,22.421552824716763
14.0,1.0,17.40172319301733
15.0,5.0,6.006076100003751
15.0,4.0,3.517573036662813
15.0,3.0,11.385616651797989
15.0,2.0,19.121779623708505
15.0,1.0,10.40480326830428
16.0,5.0,5.971492273412879
16.0,4.0,9.271116130891379
16.0,3.0,6.1135461981015515
16.0,2.0,25.822157807990266
16.0,1.0,41.875550740796506
17.0,5.0,1.8670610416908155
17.0,4.0,1.4326402788719892
17.0,3.0,7.790927815117442
17.0,2.0,17.598728248485052
17.0,1.0,50.67591680938207
18.0,5.0,2.13847276818137
18.0,4.0,6.513431081211027
18.0,3.0,9.772499489950292
18.0,2.0,30.098926078130845
18.0,1.0,34.40952145135517
19.0,5.0,2.4003170241567506
19.0,4.0,0.9120341053817553
19.0,3.0,17.759310967939182
19.0,2.0,19.856233775315395
19.0,1.0,27.934584250333327
20.0,5.0,7.322398379910831
20.0,4.0,9.152213842890554
20.0,3.0,10.680638101283384
20.0,2.0,34.41094123606323
20.0,1.0,30.317103060710288
21.0,5.0,15.71886754701582
21.0,4.0,3.9511241931515593
21.0,3.0,13.070451542980603
